Tahun,USD,JPY,DEM,NLG,GBP,FRH,CHF,SGD,MYR,HKD,AUD,CAD
September,"12,212.00","11,170.00",0,0,"19,835.00",0,"12,841.00","9,585.00","3,729.00","1,573.00","10,655.00","10,952.00"
Agustus,"11,717.00","11,297.00",0,0,"19,432.00",0,"12,801.00","9,382.00","3,712.00","1,512.00","10,961.00","10,791.00"
Juli,"11,591.00","11,390.00",0,0,"19,691.00",0,"12,843.00","9,342.00","3,646.00","1,496.00","10,914.00","10,789.00"
Juni,"11,969.00","11,815.00",0,0,"20,380.00",0,"13,435.00","9,583.00","3,729.00","1,544.00","11,265.00","11,215.00"
Mei,"11,611.00","11,435.00",0,0,"19,422.00",0,"12,938.00","9,254.00","3,610.00","1,498.00","10,818.00","10,718.00"
April,"11,532.00","11,261.00",0,0,"19,403.00",0,"13,048.00","9,178.00","3,533.00","1,487.00","10,699.00","10,531.00"
Maret,"11,404.00","11,165.00",0,0,"18,956.00",0,"12,860.00","9,050.00","3,482.00","1,470.00","10,594.00","10,358.00"
Februari,"11,634.00","11,419.00",0,0,"19,410.00",0,"13,098.00","9,193.00","3,549.00","1,499.00","10,433.00","10,459.00"
Januari,"12,226.00","11,955.00",0,0,"20,240.00",0,"13,652.00","9,578.00","3,654.00","1,574.00","10,669.00","10,933.00"
2013,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"12,189.00","11,617.00",0,0,"20,097.00",0,"13,732.00","9,628.00","3,708.00","1,572.00","10,876.00","11,443.00"
November,"11,977.00","11,680.00",0,0,"19,596.00",0,"13,234.00","9,537.00","3,712.00","1,545.00","10,858.00","11,299.00"
Oktober,"11,234.00","11,415.00",0,0,"18,014.00",0,"12,490.00","9,068.00","3,561.00","1,449.00","10,675.00","10,723.00"
September,"11,613.00","11,869.00",0,0,"18,770.00",0,"12,826.00","9,234.00","3,564.00","1,498.00","10,798.00","11,262.00"
Agustus,"10,924.00","11,129.00",0,0,"16,950.00",0,"11,745.00","8,563.00","3,307.00","1,409.00","9,766.00","10,372.00"
Juli,"10,278.00","10,486.00",0,0,"15,660.00",0,"11,061.00","8,086.00","3,166.00","1,325.00","9,296.00","9,983.00"
Juni,"9,929.00","10,035.00",0,0,"15,159.00",0,"10,526.00","7,841.00","3,124.00","1,280.00","9,184.00","9,473.00"
Mei,"9,802.00","9,705.00",0,0,"14,927.00",0,"10,276.00","7,786.00","3,185.00","1,263.00","9,476.00","9,516.00"
April,"9,722.00","9,925.00",0,0,"15,055.00",0,"10,368.00","7,879.00","3,207.00","1,253.00","10,057.00","9,606.00"
Maret,"9,719.00","10,323.00",0,0,"14,714.00",0,"10,191.00","7,816.00","3,133.00","1,252.00","10,130.00","9,564.00"
Februari,"9,667.00","10,460.00",0,0,"14,663.00",0,"10,405.00","7,822.00","3,125.00","1,246.00","9,926.00","9,451.00"
Januari,"9,698.00","10,676.00",0,0,"15,325.00",0,"10,655.00","7,834.00","3,133.00","1,250.00","10,113.00","9,677.00"
2012,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,670.00","11,197.00",0,0,"15,579.00",0,"10,597.00","7,907.00","3,160.00","1,247.00","10,025.00","9,722.00"
November,"9,605.00","11,644.00",0,0,"15,412.00",0,"10,369.00","7,872.00","3,156.00","1,239.00","10,011.00","9,674.00"
Oktober,"9,615.00","12,090.00",0,0,"15,461.00",0,"10,319.00","7,882.00","3,149.00","1,241.00","9,984.00","9,621.00"
September,"9,588.00","12,364.00",0,0,"15,586.00",0,"10,251.00","7,826.00","3,132.00","1,237.00","10,038.00","9,794.00"
Agustus,"9,560.00","12,174.00",0,0,"15,097.00",0,"9,963.00","7,631.00","3,060.00","1,233.00","9,838.00","9,634.00"
Juli,"9,485.00","12,135.00",0,0,"14,911.00",0,"9,688.00","7,616.00","3,013.00","1,223.00","9,974.00","9,477.00"
Juni,"9,480.00","11,963.00",0,0,"14,732.00",0,"9,826.00","7,415.00","2,967.00","1,222.00","9,524.00","9,181.00"
Mei,"9,565.00","12,141.00",0,0,"14,803.00",0,"9,851.00","7,425.00","3,007.00","1,232.00","9,284.00","9,292.00"
April,"9,190.00","11,467.00",0,0,"14,961.00",0,"10,128.00","7,425.00","3,029.00","1,184.00","9,604.00","9,370.00"
Maret,"9,180.00","11,176.00",0,0,"14,670.00",0,"10,168.00","7,309.00","2,996.00","1,182.00","9,555.00","9,218.00"
Februari,"9,085.00","11,275.00",0,0,"14,466.00",0,"10,156.00","7,287.00","3,031.00","1,171.00","9,827.00","9,144.00"
Januari,"9,000.00","11,792.00",0,0,"14,152.00",0,"9,836.00","7,176.00","2,954.00","1,160.00","9,573.00","8,997.00"
2011,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"9,068.00","11,680.00",0,0,"13,969.00",0,"9,636.00","6,974.00","2,853.00","1,167.00","9,203.00","8,882.00"
November,"9,170.00","11,772.00",0,0,"14,315.00",0,"9,975.00","7,090.00","2,896.00","1,177.00","9,225.00","8,898.00"
Oktober,"8,835.00","11,186.00",0,0,"14,162.00",0,"10,172.00","7,092.00","2,887.00","1,138.00","9,348.00","8,866.00"
September,"8,823.00","11,524.00",0,0,"13,764.00",0,"9,810.00","6,796.00","2,768.00","1,132.00","8,611.00","8,498.00"
Agustus,"8,578.00","11,099.00",0,0,"13,981.00",0,"10,816.00","7,103.00","2,871.00","1,100.00","8,990.00","8,693.00"
Juli,"8,508.00","10,955.00",0,0,"13,900.00",0,"10,609.00","7,065.00","2,879.00","1,092.00","9,336.00","8,941.00"
Juni,"8,597.00","10,672.00",0,0,"13,835.00",0,"10,334.00","6,985.00","2,846.00","1,105.00","9,220.00","8,884.00"
Mei,"8,537.00","10,522.00",0,0,"14,110.00",0,"10,055.00","6,929.00","2,838.00","1,097.00","9,162.00","8,764.00"
April,"8,574.00","10,513.00",0,0,"14,280.00",0,"9,815.00","6,987.00","2,883.00","1,103.00","9,352.00","9,014.00"
Maret,"8,709.00","10,514.00",0,0,"14,026.00",0,"9,484.00","6,906.00","2,879.00","1,118.00","9,001.00","8,972.00"
Februari,"8,823.00","10,795.00",0,0,"14,190.00",0,"9,499.00","6,916.00","2,888.00","1,132.00","8,940.00","9,022.00"
Januari,"9,057.00","11,036.00",0,0,"14,359.00",0,"9,622.00","7,046.00","2,926.00","1,162.00","8,982.00","9,052.00"
2010,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"8,991.00","11,029.00",0,0,"13,894.00",0,"9,600.00","6,981.00","2,916.00","1,155.00","9,143.00","8,987.00"
November,"9,013.00","10,713.00",0,0,"14,035.00",0,"9,028.00","6,843.00","2,858.00","1,161.00","8,701.00","8,860.00"
Oktober,"8,928.00","11,080.00",0,0,"14,235.00",0,"9,072.00","6,880.00","2,873.00","1,151.00","8,722.00","8,746.00"
September,"8,924.00","10,677.00",0,0,"14,112.00",0,"9,129.00","6,774.00","2,892.00","1,150.00","8,630.00","8,636.00"
Agustus,"9,041.00","10,714.00",0,0,"13,979.00",0,"8,833.00","6,664.00","2,878.00","1,162.00","8,079.00","8,526.00"
Juli,"8,952.00","10,350.00",0,0,"13,997.00",0,"8,603.00","6,569.00","2,808.00","1,153.00","8,050.00","8,646.00"
Juni,"9,083.00","10,258.00",0,0,"13,680.00",0,"8,385.00","6,481.00","2,784.00","1,167.00","8,620.00","8,620.00"
Mei,"9,180.00","10,040.00",0,0,"13,297.00",0,"7,946.00","6,546.00","1,178.00","1,178.00","8,738.00","8,738.00"
April,"9,012.00","9,574.00",0,0,"13,815.00",0,"8,316.00","6,583.00","2,823.00","1,161.00","8,378.00","8,969.00"
Maret,"9,115.00","9,771.00",0,0,"13,738.00",0,"8,536.00","6,505.00","2,784.00","1,174.00","8,344.00","8,960.00"
Februari,"9,335.00","10,231.00",0,0,"14,352.00",0,"8,606.00","6,616.00","2,742.00","1,202.00","8,326.00","8,856.00"
